,USAFID,WBAN,YR,M,D,HR,MIN,LAT,LONG,ELEV,WIND_DIR,WIND_SPD,TEMP,DEW_POINT,ATM_PRES
192,722247,54785,2013,1,8,11,53,40.624,-74.669,30,999,0.0,-7.2,-8.9,1029.2
193,722247,54785,2013,1,8,12,53,40.624,-74.669,30,999,0.0,-7.2,-8.3,1029.7
194,722247,54785,2013,1,8,13,53,40.624,-74.669,30,999,0.0,-2.8,-5.0,1030.0
195,722247,54785,2013,1,8,14,53,40.624,-74.669,30,999,2.6,2.8,-1.7,1029.8
196,722247,54785,2013,1,8,15,53,40.624,-74.669,30,220,2.6,5.0,-1.7,1029.1
197,722247,54785,2013,1,8,16,53,40.624,-74.669,30,999,2.6,6.7,-1.1,1028.1
198,722247,54785,2013,1,8,17,53,40.624,-74.669,30,999,2.1,8.3,-0.6,1027.5
199,722247,54785,2013,1,8,18,53,40.624,-74.669,30,999,2.6,9.4,-1.1,1027.3
200,722247,54785,2013,1,8,19,53,40.624,-74.669,30,999,1.5,8.9,-1.7,1027.7
201,722247,54785,2013,1,8,20,53,40.624,-74.669,30,999,0.0,8.3,-1.7,1027.8
202,722247,54785,2013,1,8,21,53,40.624,-74.669,30,999,0.0,6.1,-1.7,1027.7
203,722247,54785,2013,1,8,22,53,40.624,-74.669,30,999,0.0,2.2,-2.2,1028.2
204,722247,54785,2013,1,8,23,53,40.624,-74.669,30,999,0.0,0.6,-3.3,1028.8
205,722247,54785,2013,1,9,0,53,40.624,-74.669,30,999,0.0,-1.7,-3.9,1028.9
206,722247,54785,2013,1,9,1,53,40.624,-74.669,30,999,0.0,-1.7,-3.9,1028.5
207,722247,54785,2013,1,9,2,53,40.624,-74.669,30,999,0.0,-2.2,-3.9,1028.9
208,722247,54785,2013,1,9,3,53,40.624,-74.669,30,999,0.0,-3.3,-4.4,1029.3
209,722247,54785,2013,1,9,4,53,40.624,-74.669,30,999,0.0,-3.9,-5.0,1029.2
210,722247,54785,2013,1,9,4,59,40.624,-74.669,30,999,999.9,999.9,999.9,9999.9
211,722247,54785,2013,1,9,5,53,40.624,-74.669,30,999,0.0,-4.4,-5.6,1028.9
212,722247,54785,2013,1,9,6,53,40.624,-74.669,30,999,0.0,-4.4,-6.1,1028.7
213,722247,54785,2013,1,9,7,53,40.624,-74.669,30,999,0.0,-5.0,-6.1,1028.7
214,722247,54785,2013,1,9,8,53,40.624,-74.669,30,999,0.0,-5.0,-6.1,1028.1
215,722247,54785,2013,1,9,9,53,40.624,-74.669,30,999,0.0,-5.0,-6.1,1028.0
216,722247,54785,2013,1,9,10,53,40.624,-74.669,30,999,0.0,-6.1,-7.2,1027.8
217,722247,54785,2013,1,9,11,53,40.624,-74.669,30,999,0.0,-5.0,-6.1,1028.4
218,722247,54785,2013,1,9,12,53,40.624,-74.669,30,999,0.0,-5.0,-6.7,1028.7
219,722247,54785,2013,1,9,13,53,40.624,-74.669,30,999,0.0,-2.2,-3.9,1028.9
220,722247,54785,2013,1,9,14,53,40.624,-74.669,30,999,0.0,0.6,-2.2,1027.8
221,722247,54785,2013,1,9,15,53,40.624,-74.669,30,999,0.0,2.8,-0.6,1026.8
222,722247,54785,2013,1,9,16,53,40.624,-74.669,30,999,0.0,4.4,0.0,1025.6
223,722247,54785,2013,1,9,17,53,40.624,-74.669,30,999,0.0,5.0,0.0,1024.5
224,722247,54785,2013,1,9,18,53,40.624,-74.669,30,999,0.0,6.7,1.1,1024.4
225,722247,54785,2013,1,9,19,53,40.624,-74.669,30,999,0.0,6.7,1.7,1020.9
226,722247,54785,2013,1,9,20,53,40.624,-74.669,30,999,0.0,6.7,2.2,1021.0
227,722247,54785,2013,1,9,21,53,40.624,-74.669,30,999,0.0,6.1,2.2,1021.6
228,722247,54785,2013,1,9,22,53,40.624,-74.669,30,999,0.0,5.6,1.7,1022.0
229,722247,54785,2013,1,9,23,53,40.624,-74.669,30,310,1.5,5.0,1.7,1022.7
230,722247,54785,2013,1,10,0,53,40.624,-74.669,30,999,0.0,0.0,-1.1,1023.1
231,722247,54785,2013,1,10,1,53,40.624,-74.669,30,210,1.5,0.0,-0.6,1023.1
232,722247,54785,2013,1,10,2,53,40.624,-74.669,30,999,2.1,2.2,0.0,1023.1
233,722247,54785,2013,1,10,3,53,40.624,-74.669,30,999,2.1,7.8,0.0,1023.2
234,722247,54785,2013,1,10,4,53,40.624,-74.669,30,999,2.1,7.2,-1.1,1023.9
235,722247,54785,2013,1,10,4,59,40.624,-74.669,30,999,999.9,999.9,999.9,9999.9
236,722247,54785,2013,1,10,5,53,40.624,-74.669,30,999,2.6,7.2,-1.7,1025.2
237,722247,54785,2013,1,10,6,53,40.624,-74.669,30,999,1.5,6.7,-2.2,1026.4
238,722247,54785,2013,1,10,7,53,40.624,-74.669,30,999,2.1,6.1,-2.8,1027.6
239,722247,54785,2013,1,10,8,53,40.624,-74.669,30,280,2.6,5.0,-3.3,1027.9
240,722247,54785,2013,1,10,9,53,40.624,-74.669,30,310,4.1,4.4,-3.3,1027.9
241,722247,54785,2013,1,10,10,53,40.624,-74.669,30,320,2.1,4.4,-3.9,1029.2
242,722247,54785,2013,1,10,11,53,40.624,-74.669,30,999,0.0,3.3,-3.9,1030.3
243,722247,54785,2013,1,10,12,53,40.624,-74.669,30,999,0.0,1.7,-3.9,1031.4
244,722247,54785,2013,1,10,13,53,40.624,-74.669,30,300,2.6,5.6,-3.3,1032.7
245,722247,54785,2013,1,10,14,53,40.624,-74.669,30,999,2.1,7.2,-3.9,1033.0
246,722247,54785,2013,1,10,15,53,40.624,-74.669,30,360,4.1,7.8,-4.4,1032.8
247,722247,54785,2013,1,10,16,53,40.624,-74.669,30,320,5.1,8.3,-5.0,1032.2
248,722247,54785,2013,1,10,17,53,40.624,-74.669,30,320,3.6,8.3,-5.0,1031.4
249,722247,54785,2013,1,10,18,53,40.624,-74.669,30,320,4.1,9.4,-5.0,1031.9
250,722247,54785,2013,1,10,19,53,40.624,-74.669,30,290,2.6,10.0,-5.0,1032.1
